"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"PDS";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"19.12.2003";"Â";"49 %";"26 %";"11 %";"6 %";"4 %";"4 %";"Â";"1.000";"16.12.â€“17.12.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2003.htm"
"12.12.2003";"Â";"50 %";"25 %";"10 %";"7 %";"4 %";"4 %";"Â";"1.000";"09.12.â€“10.12.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2003.htm"
"05.12.2003";"Â";"51 %";"26 %";"10 %";"6 %";"3 %";"4 %";"Â";"1.200";"01.12.â€“03.12.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2003.htm"
"28.11.2003";"Â";"49 %";"27 %";"11 %";"7 %";"3 %";"3 %";"Â";"1.000";"25.11.â€“26.11.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2003.htm"
"21.11.2003";"Â";"49 %";"27 %";"11 %";"7 %";"3 %";"3 %";"Â";"1.000";"18.11.â€“19.11.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2003.htm"
"14.11.2003";"Â";"50 %";"25 %";"11 %";"6 %";"4 %";"4 %";"Â";"1.000";"11.11.â€“12.11.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2003.htm"
"07.11.2003";"Â";"51 %";"24 %";"10 %";"7 %";"4 %";"4 %";"Â";"1.200";"03.11.â€“05.11.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2003.htm"
"31.10.2003";"Â";"51 %";"24 %";"11 %";"6 %";"4 %";"4 %";"Â";"1.000";"28.10.â€“29.10.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2003.htm"
"24.10.2003";"Â";"50 %";"25 %";"12 %";"6 %";"3 %";"4 %";"Â";"1.000";"21.10.â€“22.10.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2003.htm"
"22.10.2003";"Â";"50 %";"25 %";"12 %";"6 %";"3 %";"4 %";"Â";"1.000";"20.10.â€“21.10.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2003.htm"
"17.10.2003";"Â";"50 %";"26 %";"11 %";"5 %";"3 %";"5 %";"Â";"1.000";"14.10.â€“16.10.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2003.htm"
"10.10.2003";"Â";"50 %";"26 %";"11 %";"5 %";"3 %";"5 %";"Â";"1.000";"07.10.â€“08.10.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2003.htm"
"03.10.2003";"Â";"50 %";"27 %";"11 %";"5 %";"3 %";"4 %";"Â";"1.200";"29.09.â€“01.10.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2003.htm"
"26.09.2003";"Â";"48 %";"28 %";"11 %";"6 %";"4 %";"3 %";"Â";"1.000";"23.09.â€“24.09.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2003.htm"
"19.09.2003";"Â";"46 %";"29 %";"10 %";"7 %";"4 %";"4 %";"Â";"1.000";"16.09.â€“17.09.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2003.htm"
"12.09.2003";"Â";"46 %";"30 %";"9 %";"6 %";"4 %";"5 %";"Â";"1.000";"09.09.â€“11.09.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2003.htm"
"05.09.2003";"Â";"46 %";"29 %";"10 %";"6 %";"4 %";"5 %";"Â";"1.200";"01.09.â€“03.09.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2003.htm"
"29.08.2003";"Â";"46 %";"30 %";"10 %";"6 %";"4 %";"4 %";"Â";"1.000";"26.08.â€“27.08.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2003.htm"
"22.08.2003";"Â";"46 %";"30 %";"10 %";"7 %";"4 %";"3 %";"Â";"1.000";"19.08.â€“21.08.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2003.htm"
