"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"Linke.PDS";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"28.12.2005";"Â";"37 %";"32 %";"8 %";"11 %";"8 %";"4 %";"Â";"2.500";"19.12.â€“23.12.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"21.12.2005";"Â";"36 %";"32 %";"8 %";"11 %";"9 %";"4 %";"Â";"2.498";"15.12.â€“16.12.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"14.12.2005";"Â";"36 %";"31 %";"8 %";"12 %";"9 %";"4 %";"Â";"2.502";"05.12.â€“09.12.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"07.12.2005";"Â";"34 %";"33 %";"9 %";"11 %";"9 %";"4 %";"Â";"2.506";"22.11.â€“02.12.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"30.11.2005";"Â";"35 %";"31 %";"9 %";"12 %";"9 %";"4 %";"Â";"2.501";"21.11.â€“25.11.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"23.11.2005";"Â";"33 %";"33 %";"8 %";"12 %";"10 %";"4 %";"Â";"2.502";"14.11.â€“18.11.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"15.11.2005";"Â";"32 %";"33 %";"9 %";"12 %";"9 %";"5 %";"Â";"2.506";"07.11.â€“11.11.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"08.11.2005";"Â";"34 %";"32 %";"9 %";"12 %";"9 %";"4 %";"Â";"2.497";"31.10.â€“04.11.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"02.11.2005";"Â";"35 %";"34 %";"8 %";"11 %";"8 %";"4 %";"Â";"2.499";"24.10.â€“28.10.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"26.10.2005";"Â";"36 %";"33 %";"9 %";"10 %";"9 %";"3 %";"Â";"2.502";"17.10.â€“21.10.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"19.10.2005";"Â";"35 %";"34 %";"9 %";"10 %";"8 %";"4 %";"Â";"2.006";"10.10.â€“14.10.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"12.10.2005";"Â";"36 %";"34 %";"8 %";"10 %";"9 %";"3 %";"Â";"2.001";"04.10.â€“07.10.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"05.10.2005";"Â";"36 %";"34 %";"8 %";"11 %";"8 %";"3 %";"Â";"2.501";"26.09.â€“30.09.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"28.09.2005";"Â";"36 %";"34 %";"8 %";"11 %";"8 %";"3 %";"Â";"2.501";"19.09.â€“23.09.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"18.09.2005";"Â";"35,2 %";"34,2 %";"8,1 %";"9,8 %";"8,7 %";"3,9 %";"Â";"Bundestagswahl";"Bundestagswahl";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
