"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"LINKE";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"19.12.2008";"Â";"37 %";"24 %";"11 %";"12 %";"11 %";"5 %";"Â";"1.000";"15.12.â€“16.12.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2008.htm"
"12.12.2008";"Â";"36 %";"23 %";"12 %";"13 %";"12 %";"4 %";"Â";"1.000";"09.12.â€“10.12.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2008.htm"
"04.12.2008";"Â";"37 %";"23 %";"12 %";"12 %";"12 %";"4 %";"Â";"1.500";"01.12.â€“03.12.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2008.htm"
"14.11.2008";"Â";"37 %";"25 %";"11 %";"11 %";"13 %";"3 %";"Â";"1.000";"11.11.â€“12.11.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2008.htm"
"06.11.2008";"Â";"37 %";"25 %";"11 %";"11 %";"12 %";"4 %";"Â";"1.500";"03.11.â€“05.11.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2008.htm"
"15.10.2008";"Â";"35 %";"25 %";"10 %";"12 %";"13 %";"5 %";"Â";"1.000";"14.10.â€“15.10.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2008.htm"
"02.10.2008";"Â";"35 %";"25 %";"11 %";"13 %";"11 %";"5 %";"Â";"1.500";"29.09.â€“01.10.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2008.htm"
"19.09.2008";"Â";"37 %";"26 %";"10 %";"12 %";"12 %";"3 %";"Â";"1.000";"16.09.â€“17.09.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2008.htm"
"10.09.2008";"Â";"36 %";"26 %";"10 %";"12 %";"12 %";"4 %";"Â";"1.000";"09.09.â€“10.09.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2008.htm"
"04.09.2008";"Â";"36 %";"26 %";"10 %";"11 %";"13 %";"4 %";"Â";"1.500";"01.09.â€“03.09.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2008.htm"
"22.08.2008";"Â";"37 %";"25 %";"10 %";"12 %";"13 %";"3 %";"Â";"1.000";"19.08.â€“20.08.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2008.htm"
"07.08.2008";"Â";"36 %";"24 %";"11 %";"12 %";"14 %";"3 %";"Â";"1.501";"04.08.â€“06.08.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2008.htm"
"11.07.2008";"Â";"37 %";"24 %";"12 %";"11 %";"12 %";"4 %";"Â";"1.000";"08.07.â€“09.07.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2008.htm"
"03.07.2008";"Â";"36 %";"25 %";"11 %";"12 %";"13 %";"3 %";"Â";"1.500";"30.06.â€“02.07.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2008.htm"
"13.06.2008";"Â";"36 %";"24 %";"11 %";"12 %";"13 %";"4 %";"Â";"1.000";"10.06.â€“11.06.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2008.htm"
"05.06.2008";"Â";"34 %";"24 %";"12 %";"13 %";"14 %";"3 %";"Â";"1.500";"02.06.â€“04.06.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2008.htm"
"16.05.2008";"Â";"36 %";"25 %";"12 %";"11 %";"12 %";"4 %";"Â";"1.000";"13.05.â€“14.05.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2008.htm"
"01.05.2008";"Â";"37 %";"27 %";"10 %";"10 %";"12 %";"4 %";"Â";"1.500";"28.04.â€“30.04.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2008.htm"
"25.04.2008";"Â";"36 %";"27 %";"11 %";"10 %";"12 %";"4 %";"Â";"1.000";"22.04.â€“23.04.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2008.htm"
"03.04.2008";"Â";"37 %";"26 %";"11 %";"10 %";"12 %";"4 %";"Â";"1.500";"31.03.â€“02.04.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2008.htm"
"20.03.2008";"Â";"38 %";"27 %";"11 %";"9 %";"12 %";"3 %";"Â";"1.000";"17.03.â€“18.03.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2008.htm"
"06.03.2008";"Â";"39 %";"28 %";"10 %";"8 %";"12 %";"3 %";"Â";"1.500";"03.03.â€“05.03.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2008.htm"
"01.03.2008";"Â";"38 %";"29 %";"9 %";"9 %";"12 %";"3 %";"Â";"1.000";"27.02.â€“28.02.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2008.htm"
"22.02.2008";"Â";"37 %";"29 %";"9 %";"10 %";"12 %";"3 %";"Â";"1.000";"19.02.â€“20.02.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2008.htm"
"07.02.2008";"Â";"38 %";"30 %";"9 %";"9 %";"11 %";"3 %";"Â";"1.500";"04.02.â€“06.02.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2008.htm"
"24.01.2008";"Â";"39 %";"30 %";"9 %";"9 %";"10 %";"3 %";"Â";"1.000";"22.01.â€“23.01.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2008.htm"
"10.01.2008";"Â";"39 %";"30 %";"9 %";"9 %";"9 %";"4 %";"Â";"1.500";"07.01.â€“09.01.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2008.htm"
