"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"Linke.PDS";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"??.12.2005";"Â";"35 %";"32 %";"9 %";"10 %";"10 %";"4 %";"Â";NA;NA;"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"29.11.2005";"Â";"34 %";"32 %";"9 %";"10 %";"11 %";"4 %";"Â";"~4.400";"21.11.â€“28.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"22.11.2005";"Â";"32 %";"32 %";"10 %";"11 %";"10 %";"5 %";"Â";"~2.600";"14.11.â€“21.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"15.11.2005";"Â";"33 %";"31 %";"9 %";"12 %";"11 %";"4 %";"Â";"~4.200";"07.11.â€“14.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"Â";"Â";"35 %";"31 %";"9 %";"11 %";"10 %";"4 %";"Â";NA;NA;"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"03.11.2005";"Â";"34 %";"31 %";"9 %";"11 %";"11 %";"4 %";"Â";"~1.400";"31.10.â€“02.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"01.11.2005";"Â";"34 %";"33 %";"9 %";"10 %";"10 %";"4 %";"Â";"~3.500";"24.10.â€“30.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"26.10.2005";"Â";"35 %";"33 %";"9 %";"9 %";"10 %";"4 %";"Â";"~1.000";"24.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"18.10.2005";"Â";"35 %";"34 %";"9 %";"9 %";"9 %";"4 %";"Â";"~4.000";"10.10.â€“17.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"Â";"Â";"37 %";"33 %";"7 %";"9 %";"10 %";"4 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"22.09.2005";"Â";"36 %";"33 %";"8 %";"10 %";"10 %";"3 %";"Â";"~2.000";"20.09.â€“21.09.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"18.09.2005";"Â";"35,2 %";"34,2 %";"8,1 %";"9,8 %";"8,7 %";"3,9 %";"Â";"Bundestagswahl";"Bundestagswahl";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
