"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"PDS";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"23.12.2004";"Â";"38 %";"34 %";"12 %";"7 %";"5 %";"4 %";"Â";"1.000";"20.12.â€“21.12.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"17.12.2004";"Â";"40 %";"32 %";"11 %";"7 %";"5 %";"5 %";"Â";"1.000";"14.12.â€“15.12.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"10.12.2004";"Â";"40 %";"32 %";"11 %";"8 %";"5 %";"4 %";"Â";"1.000";"07.12.â€“09.12.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"03.12.2004";"Â";"40 %";"33 %";"11 %";"7 %";"4 %";"5 %";"Â";"1.500";"30.11.â€“01.12.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"26.11.2004";"Â";"39 %";"32 %";"11 %";"8 %";"5 %";"5 %";"Â";"1.000";"23.11.â€“24.11.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"19.11.2004";"Â";"39 %";"32 %";"12 %";"7 %";"5 %";"5 %";"Â";"1.000";"16.11.â€“17.11.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"12.11.2004";"Â";"40 %";"31 %";"12 %";"7 %";"5 %";"5 %";"Â";"1.000";"09.11.â€“11.11.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"05.11.2004";"Â";"40 %";"30 %";"13 %";"8 %";"5 %";"4 %";"Â";"1.500";"02.11.â€“04.11.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"29.10.2004";"Â";"38 %";"31 %";"12 %";"8 %";"6 %";"5 %";"Â";"1.000";"26.10.â€“26.10.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"22.10.2004";"Â";"38 %";"31 %";"12 %";"8 %";"5 %";"6 %";"Â";"1.000";"19.10.â€“20.10.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"15.10.2004";"Â";"40 %";"30 %";"13 %";"7 %";"5 %";"5 %";"Â";"1.000";"12.10.â€“13.10.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"08.10.2004";"Â";"41 %";"29 %";"12 %";"7 %";"6 %";"5 %";"Â";"1.000";"05.10.â€“07.10.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"01.10.2004";"Â";"41 %";"29 %";"12 %";"7 %";"6 %";"5 %";"Â";"1.500";"28.09.â€“29.09.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"24.09.2004";"Â";"43 %";"26 %";"13 %";"7 %";"6 %";"5 %";"Â";"1.000";"21.09.â€“22.09.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"17.09.2004";"Â";"43 %";"26 %";"13 %";"6 %";"6 %";"6 %";"Â";"1.000";"14.09.â€“15.09.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
