"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"Linke.PDS";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"21.12.2005";"Â";"36 %";"32 %";"9 %";"9 %";"10 %";"4 %";"Â";"1.000";"19.12.â€“20.12.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"15.12.2005";"Â";"35 %";"33 %";"9 %";"10 %";"9 %";"4 %";"Â";"998";"13.12.â€“14.12.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"08.12.2005";"Â";"36 %";"34 %";"9 %";"10 %";"8 %";"3 %";"Â";"1.000";"06.12.â€“07.12.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"01.12.2005";"Â";"36 %";"34 %";"9 %";"10 %";"8 %";"3 %";"Â";"1.507";"28.11.â€“30.11.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"24.11.2005";"Â";"35 %";"34 %";"9 %";"10 %";"9 %";"3 %";"Â";"1.000";"22.11.â€“23.11.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"17.11.2005";"Â";"34 %";"34 %";"9 %";"11 %";"9 %";"3 %";"Â";"1.000";"15.11.â€“16.11.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"10.11.2005";"Â";"36 %";"33 %";"8 %";"10 %";"10 %";"3 %";"Â";"1.000";"08.11.â€“09.11.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"03.11.2005";"Â";"37 %";"32 %";"9 %";"10 %";"9 %";"3 %";"Â";"1.509";"01.11.â€“02.11.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"27.10.2005";"Â";"36 %";"34 %";"9 %";"9 %";"9 %";"3 %";"Â";"1.000";"25.10.â€“26.10.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"20.10.2005";"Â";"37 %";"34 %";"8 %";"9 %";"9 %";"3 %";"Â";"1.000";"18.10.â€“19.10.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"13.10.2005";"Â";"37 %";"34 %";"8 %";"9 %";"8 %";"4 %";"Â";"1.000";"11.10.â€“12.10.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"06.10.2005";"Â";"36 %";"34 %";"8 %";"10 %";"8 %";"4 %";"Â";"1.508";"04.10.â€“05.10.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"29.09.2005";"Â";"36 %";"34 %";"8 %";"9 %";"9 %";"4 %";"Â";"1.000";"26.09.â€“27.09.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"22.09.2005";"Â";"35 %";"34 %";"8 %";"10 %";"9 %";"4 %";"Â";"1.500";"20.09.â€“21.09.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"18.09.2005";"Â";"35,2 %";"34,2 %";"8,1 %";"9,8 %";"8,7 %";"3,9 %";"Â";"Bundestagswahl";"Bundestagswahl";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"08.09.2005";"Â";"41 %";"34 %";"7 %";"6,5 %";"8,5 %";"3 %";"Â";"1.000";"06.09.â€“07.09.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"01.09.2005";"Â";"43 %";"32 %";"7 %";"6 %";"9 %";"3 %";"Â";"1.636";"29.08.â€“31.08.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"25.08.2005";"Â";"42 %";"31 %";"8 %";"7 %";"9 %";"3 %";"Â";"1.000";"23.08.â€“24.08.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"17.08.2005";"Â";"42 %";"30 %";"8 %";"7 %";"9 %";"4 %";"Â";"1.000";"15.08.â€“16.08.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
