"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"LINKE";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"18.12.2007";"Â";"38 %";"29 %";"10 %";"9 %";"11 %";"3 %";"Â";"5.959";"10.12.â€“17.12.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"11.12.2007";"Â";"38 %";"29 %";"9 %";"8 %";"12 %";"4 %";"Â";"4.130";"03.12.â€“10.12.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"04.12.2007";"Â";"37 %";"27 %";"10 %";"10 %";"12 %";"4 %";"Â";"4.600";"26.11.â€“03.12.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"27.11.2007";"Â";"37 %";"28 %";"10 %";"9 %";"12 %";"4 %";"Â";"3.673";"19.11.â€“26.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"21.11.2007";"Â";"36 %";"28 %";"10 %";"10 %";"12 %";"4 %";"Â";"5.465";"12.11.â€“19.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"18.11.2007";"Â";"36 %";"28 %";"10 %";"10 %";"12 %";"4 %";"Â";"1.885";"12.11.â€“15.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"14.11.2007";"Â";"37 %";"28 %";"10 %";"10 %";"11 %";"4 %";"Â";"5.085";"05.11.â€“12.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"06.11.2007";"Â";"37 %";"30 %";"9 %";"10 %";"10 %";"4 %";"Â";"5.077";"29.10.â€“05.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"30.10.2007";"Â";"38 %";"29 %";"9 %";"9 %";"11 %";"4 %";"Â";"3.663";"22.10.â€“29.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"23.10.2007";"Â";"39 %";"28 %";"9 %";"9 %";"11 %";"4 %";"Â";"3.221";"15.10.â€“22.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
